Select	PeakName	PeakNote	Int	Pos	FWHM	Mix	As	RInt	RPos	RFWHM	RMix	RAs			
	p0		1.7501	283.54	1.8313	0.62432	0.01	1.746	283.54	1.8289	0.63777	0.01			
	p1		1.4839	286.57	2.3644	0.01	0.99	1.5024	286.56	2.3543	0.01	0.99			
	p2		1.9058	289.93	4.9659	0.9732	0.022893	1.8918	289.9	4.9444	0.97073	0.048592			
	p3		0.15698	302.8	12.778	0.56	0.91	0.15698	302.8	12.778	0.56	0.91			
	p4		0.061428	324.25	17.566	0.5	0.5	0.061428	324.25	17.566	0.5	0.5			
	p5														
	p6														
	p7														
	p8														
	p9														
	p10														
	p11														
	p12														
	p13														
	p14														
	p15														
	p16														
	p17														
	p18														
	p19														
	p20														
	p21														
	p22														
	p23														
	p24														
	p25														
	p26														
	p27														
	p28														
	p29														
	p30														
	p31														
	p32														
	p33														
	p34														
	p35														
	p36														
	p37														
	p38														
	p39														
	p40														
	p41														
	p42														
	p43														
	p44														
	p45														
	p46														
	p47														
	p48														
	p49														
	p50														
	p51														
	p52														
	p53														
	p54														
	p55														
	p56														
	p57														
	p58														
	p59														
	p60														
	p61														
	p62														
	p63														
